sample_name,sampleID,region,origin,lat,long,r420,d13c,r_ra,rc_ra,co2_he3,phase,SlabDepth,LabDepth,MohoDepth
Lastarria,LSTG-1,CVZ,published,-25.15,-68.52,56,NA,5.15,NA,71000000000,G,97.928927268062,69.2487291485253,59.7479312732665
Lastarria,LSTG-12,CVZ,published,-25.15,-68.52,85,-2.8,5.44,NA,60000000000,G,97.928927268062,69.2487291485253,59.7479312732665
Lastarria,LSTG-14,CVZ,published,-25.15,-68.52,NA,-1.3,NA,NA,NA,G,97.928927268062,69.2487291485253,59.7479312732665
Lastarria,LSTG-15,CVZ,published,-25.15,-68.52,NA,NA,NA,NA,NA,G,97.928927268062,69.2487291485253,59.7479312732665
Lastarria,LSTG-16,CVZ,published,-25.15,-68.52,255,-2.2,5.75,NA,33000000000,G,97.928927268062,69.2487291485253,59.7479312732665
Lastarria,LSTG-17,CVZ,published,-25.15,-68.52,NA,NA,NA,NA,NA,G,97.928927268062,69.2487291485253,59.7479312732665
Lastarria,LSTG-18,CVZ,published,-25.15,-68.52,648,-1.8,6.17,NA,46000000000,G,97.928927268062,69.2487291485253,59.7479312732665
Lastarria,LSTG-19,CVZ,published,-25.15,-68.52,534,-1.1,5.11,NA,18000000000,G,97.928927268062,69.2487291485253,59.7479312732665
Lastarria,LSTG-20,CVZ,published,-25.15,-68.52,NA,NA,NA,NA,NA,G,97.928927268062,69.2487291485253,59.7479312732665
Lastarria,LSTG-21,CVZ,published,-25.15,-68.52,551,-1.6,4.93,NA,20000000000,G,97.928927268062,69.2487291485253,59.7479312732665
Lastarria,LSTG-22,CVZ,published,-25.15,-68.52,NA,-2.8,NA,NA,NA,G,97.928927268062,69.2487291485253,59.7479312732665
Lastarria,LSTG-23,CVZ,published,-25.15,-68.52,NA,-0.4,NA,NA,NA,G,97.928927268062,69.2487291485253,59.7479312732665
Lastarria,LSTG-26,CVZ,published,-25.15,-68.52,NA,NA,NA,NA,NA,G,97.928927268062,69.2487291485253,59.7479312732665
Lastarria,LSTG-27,CVZ,published,-25.15,-68.52,311,-2.1,6.23,NA,59000000000,G,97.928927268062,69.2487291485253,59.7479312732665
Lastarria,LSTG-28,CVZ,published,-25.15,-68.52,76,-2.6,5.83,NA,120000000000,G,97.928927268062,69.2487291485253,59.7479312732665
Lastarria,LSTG-5,CVZ,published,-25.15,-68.52,NA,-4.1,NA,NA,NA,G,97.928927268062,69.2487291485253,59.7479312732665
Lastarria,LSTG-6,CVZ,published,-25.15,-68.52,38,NA,4.55,NA,220000000000,G,97.928927268062,69.2487291485253,59.7479312732665
Lastarria,LSTG-7,CVZ,published,-25.15,-68.52,NA,NA,NA,NA,NA,G,97.928927268062,69.2487291485253,59.7479312732665
Lastarria,LSTG-8,CVZ,published,-25.15,-68.52,NA,-2.7,NA,NA,NA,G,97.928927268062,69.2487291485253,59.7479312732665
El Saladillo,NA,CVZ,published,-24.75,-65.1,0.9,NA,0.27,0.27,NA,W,317.136924820829,78.0487207241744,42.9997004340843
Baños de Fleming,BF211031,CVZ,published,-24.59225,-64.90953,NA,NA,0.82,NA,NA,G,337.970402213686,79.2243285243219,41.6226196089516
Baños de Fleming,BF211031,CVZ,this_study,-24.59225,-64.90953,NA,NA,0.82,NA,NA,G,337.970402213686,79.2243285243219,41.6226196089516
El Sauce,NA,CVZ,published,-24.58,-66.33,173.3,NA,0.38,0.38,NA,W,207.532371677114,65.2139677444345,57.6471462331409
Jujuy Province,AC1,CVZ,published,-24.55,-64.94,NA,-13.6,NA,NA,NA,W,335.180237197457,78.6272334530249,41.7860071491538
Laguna Socompa,NA,CVZ,published,-24.55,-68.27,2.5,NA,1.46,1.52,NA,W,105.177491529454,64.6299513122023,57.9219830852651
