Sample Name,Sample ID,Region,lat,long,origin,Phase,xco2,x3he,x4he
Domuyo,D1d,SVZ,-36.6,-70.45,published,G,0.999992554905708,2.03250773602972E-11,7.44507396665854E-06
Domuyo,D1a,SVZ,-36.6,-70.45,published,G,0.999998983539805,2.7322364659338E-12,1.01645746277709E-06
Domuyo,D1b,SVZ,-36.6,-70.45,published,G,,,
Domuyo,D2b,SVZ,-36.6,-70.45,published,G,,,
Domuyo,D3c,SVZ,-36.6,-70.45,published,G,,,
Domuyo,D4b,SVZ,-36.6,-70.45,published,G,,,
Domuyo,D5a,SVZ,-36.6,-70.45,published,G,,,
Domuyo,D5e,SVZ,-36.6,-70.45,published,G,,,
Domuyo,D5g,SVZ,-36.6,-70.45,published,G,,,
Domuyo,D9a,SVZ,-36.6,-70.45,published,G,,,
Domuyo,D9b,SVZ,-36.6,-70.45,published,G,,,
Azufre volcano,Azf2,SVZ,-35.32,-70.54,published,G,,,
Los Azufres,Pel,SVZ,-35.29,-70.53,published,G,0.999995421246386,1.99998277733429E-11,4.57873361376551E-06
Los Azufres,Pel,SVZ,-35.29,-70.53,published,G,0.999997419015137,1.33332304882315E-11,2.58097152926865E-06
Glacial valley,Gen2,SVZ,-35.25,-70.51,published,G,0.999996523138431,1.56249394229907E-11,3.47684594437872E-06
Glacial valley,Gen2,SVZ,-35.25,-70.51,published,G,0.999993987480138,4.99996812616116E-11,6.01246986219419E-06
Los Azufres,Cur,SVZ,-35.25,-70.51,published,G,0.999957127474129,7.1425585945425E-11,4.2872454444955E-05
Peteroa,Pet1,SVZ,-35.24,-70.57,published,G,0.999990515424651,5.88230046201749E-11,9.48451652621214E-06
Peteroa,Pet8,SVZ,-35.24,-70.57,published,G,0.999988508977697,7.14277696946188E-11,1.14909508753642E-05
Peteroa,Pet7,SVZ,-35.24,-70.57,published,G,0.999990579221246,5.88229028966001E-11,9.420719930863E-06
Peteroa,Pet3,SVZ,-35.24,-70.57,published,G,0.999991102593187,5.55550548818432E-11,8.89735125803604E-06
Peteroa,Pet7,SVZ,-35.24,-70.57,published,G,0.999996469509626,2.77777435808599E-11,3.53046259641595E-06
Peteroa,Pet7,SVZ,-35.24,-70.57,published,G,0.999998230288489,1.61290293528247E-11,1.7696953823053E-06
Peteroa,Pet7,SVZ,-35.24,-70.57,published,G,0.999997787957251,2.04080360487897E-11,2.21202234138051E-06
Peteroa,Pet1,SVZ,-35.24,-70.57,published,G,0.999998124038622,1.75438085742671E-11,1.87594383420869E-06
Peteroa,Pet3,SVZ,-35.24,-70.57,published,G,0.999998776793029,1.17647850509983E-11,1.22319520603896E-06
Peteroa,Pet5,SVZ,-35.24,-70.57,published,G,0.99999850055261,1.49253511618966E-11,1.49943246478969E-06
Peteroa,Pet4,SVZ,-35.24,-70.57,published,G,,,
Peteroa,Pet6,SVZ,-35.24,-70.57,published,G,,,
Copahue Volcano,Chancho Co,SVZ,-37.84,-71.19,published,G,0.999979199915638,1.17644509643055E-10,2.07999667176062E-05
Copahue Volcano,Chancho Co,SVZ,-37.84,-71.19,published,G,0.999980500249636,1.11109020306522E-10,1.94996392545072E-05
Copahue Volcano,Chancho Co,SVZ,-37.84,-71.19,published,G,0.999985861444472,8.33321600522767E-11,1.41384721955162E-05
Copahue Volcano,Anfiteatro,SVZ,-37.84,-71.19,published,G,0.999979964768637,1.29867513827374E-10,2.00351014952223E-05
Copahue Volcano,Anfiteatro,SVZ,-37.84,-71.19,published,G,0.999966306590999,2.32550433052511E-10,3.36931764500684E-05
Copahue Volcano,Anfiteatro,SVZ,-37.84,-71.19,published,G,0.999898172513565,7.14212922893367E-10,0.000101826772222
